cnt: 8, ((T([768, 3072], f32)), {})
cnt: 8, ((T([3072, 768], f32)), {})
cnt: 8, ((T([768, 768], f32)), {})
cnt: 8, ((T([1024, 4096], f32)), {})
cnt: 8, ((T([4096, 1024], f32)), {})
cnt: 7, ((T([1024, 1024], f32)), {})
cnt: 3, ((T([512, 512], f32)), {})
cnt: 2, ((T([8008, 2560], f32)), {})
cnt: 2, ((T([2560, 10240], f32)), {})
cnt: 2, ((T([10240, 2560], f32)), {})
cnt: 2, ((T([2560, 2560], f32)), {})
cnt: 2, ((T([2048, 8192], f32)), {})
cnt: 2, ((T([8192, 2048], f32)), {})
cnt: 2, ((T([2048, 2048], f32)), {})
cnt: 2, ((T([512, 384], f32)), {})
cnt: 2, ((T([32128, 512], f32)), {})
cnt: 2, ((T([512, 2048], f32)), {})
cnt: 2, ((T([2048, 512], f32)), {})
cnt: 2, ((T([151936, 1024], bf16)), {})
cnt: 2, ((T([1024, 3072], bf16)), {})
cnt: 2, ((T([3072, 1024], bf16)), {})
cnt: 2, ((T([1024, 2048], bf16)), {})
cnt: 2, ((T([1024, 1024], bf16)), {})
cnt: 2, ((T([2048, 1024], bf16)), {})
cnt: 2, ((T([768, 3072], f16)), {})
cnt: 2, ((T([3072, 768], f16)), {})
cnt: 2, ((T([768, 768], f16)), {})
cnt: 2, ((T([50272, 768], f16)), {})
cnt: 2, ((T([2880, 4096], f32)), {})
cnt: 2, ((T([512, 2880], f32)), {})
cnt: 2, ((T([4096, 2880], f32)), {})
cnt: 2, ((T([32, 2880], f32)), {})
cnt: 2, ((T([201088, 2880], f32)), {})
cnt: 1, ((T([128100, 1536], f32)), {})
cnt: 1, ((T([1536, 1536], f32)), {})
cnt: 1, ((T([1536, 6144], f32)), {})
cnt: 1, ((T([6144, 1536], f32)), {})
cnt: 1, ((T([128, 256], f32)), {})
cnt: 1, ((T([256, 1024], f32)), {})
cnt: 1, ((T([1024, 256], f32)), {})
cnt: 1, ((T([256, 256], f32)), {})
cnt: 1, ((T([256, 128], f32)), {})
cnt: 1, ((T([2, 768], f32)), {})
cnt: 1, ((T([768, 2304], f32)), {})
cnt: 1, ((T([2, 2048], f32)), {})
cnt: 1, ((T([32000, 768], f32)), {})
cnt: 1, ((T([128112, 1024], f32)), {})
cnt: 1, ((T([250112, 512], f32)), {})
cnt: 1, ((T([512, 1024], f32)), {})
cnt: 1, ((T([1024, 512], f32)), {})
cnt: 1, ((T([384, 512], f32)), {})
cnt: 1, ((T([29056, 1024], f32)), {})
cnt: 1, ((T([512, 128], f32)), {})
cnt: 1, ((T([128, 512], f32)), {})
cnt: 1, ((T([128, 128], f32)), {})
cnt: 1, ((T([50272, 768], f32)), {})
cnt: 1, ((T([256, 512], f32)), {})
cnt: 1, ((T([512, 256], f32)), {})
cnt: 1, ((T([256, 768], f32)), {})
cnt: 1, ((T([768, 256], f32)), {})
cnt: 1, ((T([320, 512], f32)), {})
cnt: 1, ((T([256008, 1024], f32)), {})
cnt: 1, ((T([32000, 1024], f32)), {})
cnt: 1, ((T([384, 768], f32)), {})
cnt: 1, ((T([2048, 4096], bf16)), {})
cnt: 1, ((T([512, 2048], bf16)), {})
cnt: 1, ((T([4096, 2048], bf16)), {})
cnt: 1, ((T([128, 2048], bf16)), {})
cnt: 1, ((T([2048, 768], bf16)), {})
cnt: 1, ((T([768, 2048], bf16)), {})
cnt: 1, ((T([151936, 2048], bf16)), {})
cnt: 1, ((T([7168, 18432], bf16)), {})
cnt: 1, ((T([18432, 7168], bf16)), {})
cnt: 1, ((T([7168, 16384], bf16)), {})
cnt: 1, ((T([32768, 512], bf16)), {})
cnt: 1, ((T([576, 7168], bf16)), {})
cnt: 1, ((T([24576, 1536], bf16)), {})
cnt: 1, ((T([1536, 7168], bf16)), {})
cnt: 1, ((T([7168, 2048], bf16)), {})
cnt: 1, ((T([2048, 7168], bf16)), {})
cnt: 1, ((T([129280, 7168], bf16)), {})
cnt: 1, ((T([32768, 4096], bf16)), {})
cnt: 1, ((T([4096, 14336], bf16)), {})
cnt: 1, ((T([14336, 4096], bf16)), {})
cnt: 1, ((T([4096, 4096], bf16)), {})
cnt: 1, ((T([1024, 4096], bf16)), {})
