hf_allenailongformerbase_train_005_40f7eb36: (T([8, 1024, 768], f32))
timm_timm_beit_base_patch16_224_train_train_001_35d8f3da: (T([128, 197, 768], f32))
timm_timm_deit_base_distilled_patch16_224_train_train_001_73e35617: (T([128, 198, 768], f32))
timm_timm_deit_tiny_patch16_224.fb_in1k_train_train_001_3d126021: (T([128, 197, 192], f32))
timm_timm_mobilevit_s_train_train_001_7b68eef9: (T([512, 256, 144], f32))
timm_timm_mobilevit_s_train_train_001_c3efbc9e: (T([512, 64, 192], f32))
timm_timm_mobilevit_s_train_train_001_e47f9ac1: (T([512, 16, 240], f32))
timm_timm_swin_base_patch4_window7_224_train_train_001_0921e74d: (T([128, 49, 1024], f32))
timm_timm_swin_base_patch4_window7_224_train_train_001_27b21818: (T([128, 196, 512], f32))
timm_timm_swin_base_patch4_window7_224_train_train_001_943f5865: (T([128, 784, 256], f32))
timm_timm_swin_base_patch4_window7_224_train_train_001_fef46db2: (T([128, 3136, 128], f32))
timm_timm_vit_base_patch14_dinov2.lvd142m_train_train_001_bd627f20: (T([128, 1370, 768], f32))
timm_timm_vit_base_patch16_siglip_256_train_train_001_b9e5277d: (T([128, 1, 768], f32))
timm_timm_vit_base_patch16_siglip_256_train_train_001_d73af2ff: (T([128, 256, 768], f32))
hf_albertformaskedlm_train_001_c4d2b80d: (T([8, 512, 128], f32))
hf_allenailongformerbase_train_004_40f7eb36: (T([8, 1024, 768], f32))
hf_bartforcausallm_train_007_72667241: (T([8, 1024, 1024], f32))
hf_bertformaskedlm_train_001_c513df6d: (T([32, 512, 768], f32))
hf_blenderbotforcausallm_train_007_61da97f7: (T([32, 128, 2560], f32))
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_train_010_9ade150a: (T([16, 128, 2560], f32))
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_train_013_9ade150a: (T([16, 128, 2560], f32))
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_train_020_9ade150a: (T([16, 128, 2560], f32))
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_train_031_9ade150a: (T([16, 128, 2560], f32))
hf_debertav2formaskedlm_train_001_c9d85e55: (T([8, 512, 1536], f32))
hf_debertav2formaskedlm_train_012_c9d85e55: (T([8, 512, 1536], f32))
hf_distilbertformaskedlm_train_001_4847864b: (T([256, 128, 768], f32))
hf_distilbertformaskedlm_train_011_4847864b: (T([256, 128, 768], f32))
hf_distillgpt2_train_003_c513df6d: (T([32, 512, 768], f32))
hf_distillgpt2_train_010_c513df6d: (T([32, 512, 768], f32))
hf_electraforcausallm_train_001_a32fb8d7: (T([64, 512, 256], f32))
hf_electraforcausallm_train_001_c3d23b88: (T([64, 512, 128], f32))
hf_electraforcausallm_train_011_a32fb8d7: (T([64, 512, 256], f32))
hf_electraforcausallm_train_011_c3d23b88: (T([64, 512, 128], f32))
hf_googlefnet_train_001_c513df6d: (T([32, 512, 768], f32))
hf_googlefnet_train_008_c513df6d: (T([32, 512, 768], f32))
