timm_inception_v3_train_d06576f0: (T([128, 32, 149, 149], f32, stride=(710432, 1, 4768, 32)), T([], f32), T([128, 32, 149, 149], f32, stride=(710432, 1, 4768, 32)), T([128, 32, 149, 149], f32, stride=(710432, 1, 4768, 32)), T([1, 32, 1, 1], f32), T([32], f32), T([32], f32))
timm_inception_v3_train_eb6a87e2: (T([128, 32, 147, 147], f32, stride=(691488, 1, 4704, 32)), T([], f32), T([128, 32, 147, 147], f32, stride=(691488, 1, 4704, 32)), T([128, 32, 147, 147], f32, stride=(691488, 1, 4704, 32)), T([1, 32, 1, 1], f32), T([32], f32), T([32], f32))
timm_inception_v3_train_3f5858d9: (T([128, 80, 73, 73], f32, stride=(426320, 1, 5840, 80)), T([], f32), T([128, 80, 73, 73], f32, stride=(426320, 1, 5840, 80)), T([128, 80, 73, 73], f32, stride=(426320, 1, 5840, 80)), T([1, 80, 1, 1], f32), T([80], f32), T([80], f32))
timm_inception_v3_train_3f85819a: (T([128, 96, 35, 35], f32, stride=(117600, 1, 3360, 96)), T([], f32), T([128, 96, 35, 35], f32, stride=(117600, 1, 3360, 96)), T([128, 96, 35, 35], f32, stride=(117600, 1, 3360, 96)), T([1, 96, 1, 1], f32), T([96], f32), T([96], f32))
timm_inception_v3_train_1b5232aa: (T([128, 128, 17, 17], f32, stride=(36992, 1, 2176, 128)), T([], f32), T([128, 128, 17, 17], f32, stride=(36992, 1, 2176, 128)), T([128, 128, 17, 17], f32, stride=(36992, 1, 2176, 128)), T([1, 128, 1, 1], f32), T([128], f32), T([128], f32))
timm_inception_v3_train_9fd5a0d6: (T([128, 160, 17, 17], f32, stride=(46240, 1, 2720, 160)), T([], f32), T([128, 160, 17, 17], f32, stride=(46240, 1, 2720, 160)), T([128, 160, 17, 17], f32, stride=(46240, 1, 2720, 160)), T([1, 160, 1, 1], f32), T([160], f32), T([160], f32))
timm_inception_v3_train_0e13da70: (T([128, 192, 17, 17], f32, stride=(55488, 1, 3264, 192)), T([], f32), T([128, 192, 17, 17], f32, stride=(55488, 1, 3264, 192)), T([128, 192, 17, 17], f32, stride=(55488, 1, 3264, 192)), T([1, 192, 1, 1], f32), T([192], f32), T([192], f32))
timm_adv_inception_v3_train_d06576f0: (T([128, 32, 149, 149], f32, stride=(710432, 1, 4768, 32)), T([], f32), T([128, 32, 149, 149], f32, stride=(710432, 1, 4768, 32)), T([128, 32, 149, 149], f32, stride=(710432, 1, 4768, 32)), T([1, 32, 1, 1], f32), T([32], f32), T([32], f32))
timm_adv_inception_v3_train_eb6a87e2: (T([128, 32, 147, 147], f32, stride=(691488, 1, 4704, 32)), T([], f32), T([128, 32, 147, 147], f32, stride=(691488, 1, 4704, 32)), T([128, 32, 147, 147], f32, stride=(691488, 1, 4704, 32)), T([1, 32, 1, 1], f32), T([32], f32), T([32], f32))
timm_adv_inception_v3_train_3f5858d9: (T([128, 80, 73, 73], f32, stride=(426320, 1, 5840, 80)), T([], f32), T([128, 80, 73, 73], f32, stride=(426320, 1, 5840, 80)), T([128, 80, 73, 73], f32, stride=(426320, 1, 5840, 80)), T([1, 80, 1, 1], f32), T([80], f32), T([80], f32))
timm_adv_inception_v3_train_3f85819a: (T([128, 96, 35, 35], f32, stride=(117600, 1, 3360, 96)), T([], f32), T([128, 96, 35, 35], f32, stride=(117600, 1, 3360, 96)), T([128, 96, 35, 35], f32, stride=(117600, 1, 3360, 96)), T([1, 96, 1, 1], f32), T([96], f32), T([96], f32))
