rank,repro_id,family,closure_status,owner,oracle_status,oracle_path,oracle_us,best_compile_us,memcopy_sol_us,launch_adjusted_gap,priority_score_3us,inductor_gap_close_track,gating_strategy,next_action,notes,writeup_path
1,sum_sum_sum_45f02142ecfd,structured_pool_upsample_backward_reduce,writeup_ready_oracle_active,Kepler,active_oracle_impl,repros/canonical/sum_sum_sum_45f02142ecfd/oracle_structured_scatter_reduce.py,,14377.087593078611,232.35200345516205,54.18119104387311,83983.39159075345,structured scatter/upsample output-centric gather-reduce template,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,implement or repair true canonical oracle floor script,,investigation_results/inductor_writeups/per_repro/sum_sum_sum_45f02142ecfd.md
2,sum_sum_sum_f90d684d32cb,structured_pool_upsample_backward_reduce,writeup_ready_needs_oracle_measurement,Averroes,scaffold_measured_not_floor,repros/canonical/sum_sum_sum_f90d684d32cb/oracle_structured_upsample_reduce.py,93505.686,4347.008228302002,119.64800208806992,31.580612594149382,21817.764881581454,structured scatter/upsample output-centric gather-reduce template,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create concrete per-repro Inductor writeup with hook/root-cause/status,not a true floor; torch-direct scaffold timing,investigation_results/inductor_writeups/per_repro/sum_sum_sum_f90d684d32cb.md
3,sum_sum_sum_afd118ca907d,online_softmax_cross_entropy,writeup_ready_oracle_active,Confucius,active_oracle_measurement,repros/canonical/sum_sum_sum_afd118ca907d/oracle_softmax_backward.py,,6364.192008972168,654.2080044746399,9.46759331428382,18681.97971515403,online_softmax / partitioned scatter gated templates,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,measure existing canonical oracle on CUDA and log true-vs-scaffold status,,investigation_results/inductor_writeups/per_repro/sum_sum_sum_afd118ca907d.md
4,sum_sum_sum_7b24a3457260,multi_output_reduction_templates,writeup_ready_oracle_active,Confucius,active_oracle_measurement,repros/canonical/sum_sum_sum_7b24a3457260/oracle_multi_output_reduction.py,,7415.808200836182,1676.31995677948,4.376864104777448,12274.345294722776,multi-output reduction fusion / scalar accumulators / R0_BLOCK tuning,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,measure existing canonical oracle on CUDA and log true-vs-scaffold status,,investigation_results/inductor_writeups/per_repro/sum_sum_sum_7b24a3457260.md
5,sum_adeaebad93f7,irregular_gather_reduce,writeup_ready_oracle_active,Confucius,active_oracle_measurement,repros/canonical/sum_adeaebad93f7/oracle_fused_gather_reduce.py,,2434.0479373931885,160.60799360275269,14.351021350409304,8880.549183180341,one-hot/gather reduce specialization,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,measure existing canonical oracle on CUDA and log true-vs-scaffold status,,investigation_results/inductor_writeups/per_repro/sum_adeaebad93f7.md
6,sum_sum_sum_8e6cde42e572,structured_pool_upsample_backward_reduce,writeup_ready_oracle_active,Kepler,active_oracle_impl,repros/canonical/sum_sum_sum_8e6cde42e572/oracle_structured_upsample_reduce.py,,2829.375982284546,424.8960018157959,6.302965432616123,6511.33219660754,structured scatter/upsample output-centric gather-reduce template,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,implement or repair true canonical oracle floor script,,investigation_results/inductor_writeups/per_repro/sum_sum_sum_8e6cde42e572.md
7,amax_sum_sum_dc96a87ba8db,online_softmax_cross_entropy,inductor_gap_writeup_ready,Averroes,true_oracle_measured,repros/canonical/amax_sum_sum_dc96a87ba8db/oracle_softmax_sum.py,1638.368010520935,3257.344007492065,623.6479878425598,5.173277879681794,6266.771851745701,online_softmax / partitioned scatter gated templates,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create concrete per-repro Inductor writeup with hook/root-cause/status,Oracle avoids materializing full bf16 softmax; exact repro-equivalent scalar sum within bf16 tolerance.,investigation_results/inductor_writeups/per_repro/amax_sum_sum_dc96a87ba8db.md
8,sum_sum_sum_dadf6aa035dd,structured_pool_upsample_backward_reduce,writeup_ready_oracle_active,Kepler,active_oracle_impl,repros/canonical/sum_sum_sum_dadf6aa035dd/oracle_structured_upsample_reduce.py,,1370.1759576797483,63.45599889755249,16.82105647495679,5712.200709540144,structured scatter/upsample output-centric gather-reduce template,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,implement or repair true canonical oracle floor script,,investigation_results/inductor_writeups/per_repro/sum_sum_sum_dadf6aa035dd.md
9,sum_18262b26934c,structured_pool_upsample_backward_reduce,inductor_gap_writeup_ready,Averroes,true_oracle_measured,repros/canonical/sum_18262b26934c/oracle_maxpool_direct_reduce.py,579.456,1304.479956626892,135.83999872207642,8.823592856485183,3774.688166236057,structured scatter/upsample output-centric gather-reduce template,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create concrete per-repro Inductor writeup with hook/root-cause/status,not_checked; local --no-append run,investigation_results/inductor_writeups/per_repro/sum_18262b26934c.md
10,sum_sum_cdaed89f373c,multi_output_reduction_templates,inductor_gap_writeup_ready,Averroes,partial_true_oracle,repros/canonical/sum_sum_cdaed89f373c/oracle_multi_output_reduction.py,1492.558,2486.207962036133,611.3280057907104,3.931832750199308,3752.120315693777,multi-output reduction fusion / scalar accumulators / R0_BLOCK tuning,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create concrete per-repro Inductor writeup with hook/root-cause/status,"true fused reduction+epilogue oracle; full upstream version measured 15639.680us, oracle excludes upstream work",investigation_results/inductor_writeups/per_repro/sum_sum_cdaed89f373c.md
11,sum_sum_6a14a9c9ba88,multi_output_reduction_templates,inductor_gap_writeup_ready,Averroes,partial_true_oracle,repros/canonical/sum_sum_6a14a9c9ba88/oracle_multi_output_reduction.py,2491.8,1626.1759996414185,242.5920069217682,6.099867803308229,3731.894211125526,multi-output reduction fusion / scalar accumulators / R0_BLOCK tuning,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create concrete per-repro Inductor writeup with hook/root-cause/status,partial true oracle for fused dual-reduction+post-reduction pointwise; scatter_add/maxpool backward precomputed,investigation_results/inductor_writeups/per_repro/sum_sum_6a14a9c9ba88.md
12,amax_sum_3ed297ef02cd,online_softmax_cross_entropy,inductor_gap_writeup_ready,Averroes,true_oracle_measured,repros/canonical/amax_sum_3ed297ef02cd/oracle_online_softmax.py,1942.9,3494.080066680908,1243.1679964065552,2.803859573313087,3351.392770650962,online_softmax / partitioned scatter gated templates,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create concrete per-repro Inductor writeup with hook/root-cause/status,true Triton online softmax oracle; script auto-append normalized after schema mismatch,investigation_results/inductor_writeups/per_repro/amax_sum_3ed297ef02cd.md
13,amax_sum_sum_1bad0f362efd,online_softmax_cross_entropy,writeup_ready_needs_oracle_measurement,Averroes,queued,repros/canonical/amax_sum_sum_1bad0f362efd/oracle_online_softmax.py,,2252.736091613769,627.5839805603027,3.555544585615293,2985.389228541768,online_softmax / partitioned scatter gated templates,measure forced persistent+looped+coordinate-descent; gate by pattern/shape when a faster path regresses siblings,create concrete per-repro Inductor writeup with hook/root-cause/status,,investigation_results/inductor_writeups/per_repro/amax_sum_sum_1bad0f362efd.md
