floor_kind,count,confidence,realistic_floor_status,examples,next_action
multi_reduction_floor_moderate,357,medium,"Memcopy+launch is useful as lower bound, but real floor needs reduction tree/accumulator overhead estimate","sum_sum_sum_95dac16d4328;sum_sum_sum_70d71fcb0d68;sum_sum_ee85624361a0","Prototype one-pass multi-output reductions for top adjusted-excess reps"
semantic_norm_template_floor_needed,350,low_to_medium,"Need BN/LN/RMSNorm semantic template floors; memcopy+launch ignores Welford/stat math and epilogues","var_mean_765fb8f2c85e;var_mean_598830735cf6;mean_mean_1b98d81214e6","Benchmark dedicated BN/RMSNorm templates and use those as floors"
pointwise_expression_floor_moderate,169,medium,"Memcopy+launch is reasonable for simple pointwise but not for huge f64 expressions/register pressure","pointwise_a2382a85ee99;pointwise_3229f6e30711;pointwise_e26de0a669ae","Estimate expression/register floor from generated kernel or prototype split/CSE variants"
semantic_scatter_reduce_floor_needed,93,low,"Need semantic floors; memcopy+launch is too optimistic for scatter/index/upsample/pool backward but still identifies excess","sum_sum_sum_45f02142ecfd;sum_sum_sum_f90d684d32cb;sum_18262b26934c","Prototype direct structured scatter-reduce kernels; use best prototype as realistic floor"
algorithmic_online_softmax_floor_needed,81,medium,"Online-softmax heuristic gives realistic floor for large rows; Longformer/windowed cases need mask/layout fusion floor","amax_sum_sum_dc96a87ba8db;amax_sum_sum_9e768dff4978;sum_sum_sum_afd118ca907d","Use online_softmax_heuristic_data.json plus targeted CE/backward prototypes"
reduction_floor_moderate,22,medium,"Generic reduction lower bound; may need persistent/tiled reduction floor for amax/argmax variants","amax_sum_9940b361e5b4;amax_sum_87e1fb077f24;amax_sum_amax_2a81770def44","Compare against tuned persistent reductions"
unknown_needs_review,8,low,"Small/rare cases; launch-adjusted excess is often negative","any_mean_fde44ec669a9;amax_argmax_sum_5dfabd070411;max_448f6b3c8f1d","Defer unless they remain important after other work"
semantic_layout_stencil_floor_needed,5,low,"Need stencil/layout canonicalization floor; memcopy+launch misses slice/scatter reconstruction and f64 expression pressure","pointwise_531d72f1b34a;pointwise_70c0751eb408;pointwise_d9e050ab21ca","Prototype canonicalized stencil IR or hand fused interior kernel"
launch_adjusted_floor_good_enough,4,high,"Raw gap mostly explained by launches; launch-adjusted floor is good enough for deprioritization","pointwise_c14f03aac63b;pointwise_b7a851a9ac93","Use as negative controls for horizontal fusion"
memcopy_SOL_unrealistic_irregular_gather,1,low,"Need custom gather-reduce floor; memcopy SOL underestimates irregular intermediate/source traffic","sum_adeaebad93f7","Only prototype if targeting Demucs-specific fused gather-reduce"
