hf_allenailongformerbase_train_005_965c7f5d: (T([8, 1024, 768], f32), T([8, 1024, 768], f32))
timm_timm_beit_base_patch16_224_train_train_001_44051703: (T([128, 197, 768], f32), T([128, 197, 768], f32))
timm_timm_deit_base_distilled_patch16_224_train_train_001_380b4999: (T([128, 198, 768], f32), T([128, 198, 768], f32))
timm_timm_deit_tiny_patch16_224.fb_in1k_train_train_001_06db2a56: (T([128, 197, 192], f32), T([128, 197, 192], f32))
timm_timm_mobilevit_s_train_train_001_5b9b609f: (T([512, 16, 240], f32), T([512, 16, 240], f32))
timm_timm_mobilevit_s_train_train_001_5eed8796: (T([512, 256, 144], f32), T([512, 256, 144], f32))
timm_timm_mobilevit_s_train_train_001_6dd4e50f: (T([512, 64, 192], f32), T([512, 64, 192], f32))
timm_timm_swin_base_patch4_window7_224_train_train_001_3e4a5c06: (T([128, 3136, 128], f32), T([128, 3136, 128], f32))
timm_timm_swin_base_patch4_window7_224_train_train_001_892be154: (T([128, 196, 512], f32), T([128, 196, 512], f32))
timm_timm_swin_base_patch4_window7_224_train_train_001_97d7609f: (T([128, 784, 256], f32), T([128, 784, 256], f32))
timm_timm_swin_base_patch4_window7_224_train_train_001_b94e3730: (T([128, 49, 1024], f32), T([128, 49, 1024], f32))
timm_timm_vit_base_patch14_dinov2.lvd142m_train_train_001_092c428f: (T([128, 1370, 768], f32), T([128, 1370, 768], f32))
timm_timm_vit_base_patch16_siglip_256_train_train_001_1191e469: (T([128, 256, 768], f32), T([128, 256, 768], f32))
timm_timm_vit_base_patch16_siglip_256_train_train_001_f7ac52f6: (T([128, 1, 768], f32), T([128, 1, 768], f32))
hf_albertformaskedlm_train_001_7a1066d6: (T([8, 512, 128], f32), T([8, 512, 128], f32))
hf_allenailongformerbase_train_004_965c7f5d: (T([8, 1024, 768], f32), T([8, 1024, 768], f32))
hf_bartforcausallm_train_007_b55ee8e9: (T([8, 1024, 1024], f32), T([8, 1024, 1024], f32))
hf_bertformaskedlm_train_001_6b338124: (T([32, 512, 768], f32), T([32, 512, 768], f32))
hf_blenderbotforcausallm_train_007_c7c32e08: (T([32, 128, 2560], f32), T([32, 128, 2560], f32))
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_train_010_096ac3a4: (T([16, 128, 2560], f32), T([16, 128, 2560], f32))
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_train_013_096ac3a4: (T([16, 128, 2560], f32), T([16, 128, 2560], f32))
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_train_020_096ac3a4: (T([16, 128, 2560], f32), T([16, 128, 2560], f32))
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_train_031_096ac3a4: (T([16, 128, 2560], f32), T([16, 128, 2560], f32))
hf_debertav2formaskedlm_train_001_d9655c07: (T([8, 512, 1536], f32), T([8, 512, 1536], f32))
hf_debertav2formaskedlm_train_012_d9655c07: (T([8, 512, 1536], f32), T([8, 512, 1536], f32))
hf_distilbertformaskedlm_train_001_0dd34f49: (T([256, 128, 768], f32), T([256, 128, 768], f32))
hf_distilbertformaskedlm_train_011_0dd34f49: (T([256, 128, 768], f32), T([256, 128, 768], f32))
hf_distillgpt2_train_003_6b338124: (T([32, 512, 768], f32), T([32, 512, 768], f32))
hf_distillgpt2_train_010_6b338124: (T([32, 512, 768], f32), T([32, 512, 768], f32))
hf_electraforcausallm_train_001_25f2fdb3: (T([64, 512, 256], f32), T([64, 512, 256], f32))
