family,representative_repro,status,oracle_type,target_outputs,correctness_source,benchmark_status,measured_floor_us,notes
structured_pool_upsample_backward_reduce,sum_sum_sum_45f02142ecfd,planned,Triton/Helion direct structured scatter-reduce,TBD,repro eager outputs,not_started,,Actual realistic floor requires writing direct upsample/scatter channel-reduction kernel
structured_pool_upsample_backward_reduce,sum_18262b26934c,measured,Triton/Helion maxpool-offset direct reduce,see oracle scaffold,repro eager outputs,measured_cuda_b200_unchecked,579.456,Likely simpler than bilinear upsample because offsets define source mapping; canonical-local oracle scaffold: repros/canonical/sum_18262b26934c/oracle_maxpool_direct_reduce.py; oracle_us=579.456
online_softmax_cross_entropy,amax_sum_sum_dc96a87ba8db,measured,Triton online softmax/row reduction,see oracle scaffold,repro eager outputs and online_softmax heuristic,measured_cuda_b200_unchecked,1638.368010520935,Canonical-local oracle scaffold implemented; measurement pending CUDA-capable run; canonical-local oracle scaffold: repros/canonical/amax_sum_sum_dc96a87ba8db/oracle_softmax_sum.py; oracle_us=1638.368010520935; speedup_vs_best=1.9881638231305316
online_softmax_cross_entropy,sum_sum_sum_afd118ca907d,implemented_unmeasured,Triton fused softmax backward,see oracle scaffold,repro eager outputs,syntax_or_cpu_smoke_only,,High value but more complex due attention backward fragments/index_put outputs; canonical-local oracle scaffold: repros/canonical/sum_sum_sum_afd118ca907d/oracle_softmax_backward.py
multi_output_reduction_templates,sum_sum_sum_70d71fcb0d68,measured,Triton/Helion multi-output reduction,see oracle scaffold,repro eager outputs,measured_cuda_b200_unchecked,6579.374,Actual floor requires one-pass same-input reductions; canonical-local oracle scaffold: repros/canonical/sum_sum_sum_70d71fcb0d68/oracle_multi_output_reduction.py; canonical-local oracle scaffold: repros/canonical/sum_sum_sum_70d71fcb0d68/oracle_cross_dim_reduction.py; oracle_us=6579.374
norm_template_canonicalization,var_mean_765fb8f2c85e,implemented_unmeasured,Triton BN training forward template,see oracle scaffold,repro eager outputs,syntax_or_cpu_smoke_only,,Actual floor requires BN stats plus affine/ReLU/running-stat outputs; canonical-local oracle scaffold: repros/canonical/var_mean_765fb8f2c85e/oracle_bn_training_forward.py
layout_indexing_stencil_fusion,pointwise_70c0751eb408,implemented_unmeasured,canonicalized stencil kernel,see oracle scaffold,repro eager outputs,syntax_or_cpu_smoke_only,,Floor requires rewriting slice_scatter stencil into explicit offset loads; canonical-local oracle scaffold: repros/canonical/pointwise_70c0751eb408/oracle_stencil_canonicalized.py
irregular_gather_reduce,sum_adeaebad93f7,implemented_unmeasured_deferred,Triton fused gather-reduce,see oracle scaffold,repro eager outputs,syntax_or_cpu_smoke_only,,Isolated Demucs case; do after P0/P1 if needed; canonical-local oracle scaffold: repros/canonical/sum_adeaebad93f7/oracle_fused_gather_reduce.py
structured_pool_upsample_backward_reduce,sum_sum_sum_f90d684d32cb,measured,canonical-local oracle scaffold,see oracle scaffold,repro eager outputs,measured_cuda_b200_unchecked,93505.686,canonical-local oracle scaffold: repros/canonical/sum_sum_sum_f90d684d32cb/oracle_structured_upsample_reduce.py; oracle_us=93505.686
multi_output_reduction_templates,sum_sum_sum_7b24a3457260,implemented_unmeasured,canonical-local oracle scaffold,see oracle scaffold,repro eager outputs,syntax_or_cpu_smoke_only,,canonical-local oracle scaffold: repros/canonical/sum_sum_sum_7b24a3457260/oracle_multi_output_reduction.py
structured_pool_upsample_backward_reduce,sum_sum_sum_dadf6aa035dd,implemented_unmeasured,canonical-local oracle scaffold,see oracle scaffold,repro eager outputs,syntax_or_cpu_smoke_only,,canonical-local oracle scaffold: repros/canonical/sum_sum_sum_dadf6aa035dd/oracle_structured_upsample_reduce.py
structured_pool_upsample_backward_reduce,sum_sum_sum_8e6cde42e572,implemented_unmeasured,canonical-local oracle scaffold,see oracle scaffold,repro eager outputs,syntax_or_cpu_smoke_only,,canonical-local oracle scaffold: repros/canonical/sum_sum_sum_8e6cde42e572/oracle_structured_upsample_reduce.py
multi_output_reduction_templates,sum_sum_cdaed89f373c,implemented_unmeasured,canonical-local oracle scaffold,see oracle scaffold,repro eager outputs,syntax_or_cpu_smoke_only,,canonical-local oracle scaffold: repros/canonical/sum_sum_cdaed89f373c/oracle_multi_output_reduction.py
multi_output_reduction_templates,sum_sum_6a14a9c9ba88,implemented_unmeasured,canonical-local oracle scaffold,see oracle scaffold,repro eager outputs,syntax_or_cpu_smoke_only,,canonical-local oracle scaffold: repros/canonical/sum_sum_6a14a9c9ba88/oracle_multi_output_reduction.py
online_softmax_cross_entropy,amax_sum_3ed297ef02cd,implemented_unmeasured,canonical-local oracle scaffold,see oracle scaffold,repro eager outputs,syntax_or_cpu_smoke_only_or_unvalidated,,canonical-local oracle scaffold: repros/canonical/amax_sum_3ed297ef02cd/oracle_online_softmax.py
