queue_rank,repro_dir,pattern_hash,kind,family,n_points,n_models,total_occurrences,old_oracle_candidates,status,owner,notes
1,pointwise_04d85912d998,04d85912d998,pointwise,layout_indexing_stencil_fusion,469,105,4289,~pointwise_43877c71f0eb;~pointwise_75795e2c97dd;~pointwise_e5d19e73a52c,claimed,Codex,claimed_2026-06-12_batch_1-5_repros_v2
2,pointwise_ccd411f2a45d,ccd411f2a45d,pointwise,layout_indexing_stencil_fusion,455,102,3936,~pointwise_43877c71f0eb;~pointwise_75795e2c97dd;~pointwise_e5d19e73a52c,claimed,Codex,claimed_2026-06-12_batch_1-5_repros_v2
3,pointwise_8bb40810003c,8bb40810003c,pointwise,unclassified_priority_gap,84,96,2660,~pointwise_0a2f01161fd8;~pointwise_a718233d708d;~pointwise_ccfd75b90652,oracle_measured,Codex,B200_verified_2026-06-12: check 84/84 PASS; bench 32GOOD 50AT_FLOOR 2BAD(floor noise); oracle_us median=6.88; gap 1.05-1.27x on GOOD points
4,pointwise_100a39b686e3,100a39b686e3,pointwise,layout_indexing_stencil_fusion,1,38,1257,pointwise_100a39b686e3,oracle_measured,Codex,B200_verified_2026-06-12: check 1/1 PASS; bench AT_FLOOR oracle=4.99us compile=4.96us; scalar step-counter at launch floor
5,pointwise_e87d6ebc9ded,e87d6ebc9ded,pointwise,unclassified_priority_gap,15,40,684,pointwise_035529d03c14;pointwise_0f6eed42fa2c;pointwise_af2e722aed5d,oracle_measured,Codex,B200_verified_2026-06-12: check 15/15 PASS; bench 14GOOD 1AT_FLOOR; oracle_us median=9.25; gap up to 17.9x (attention reshape)
6,pointwise_826ea0b5f6e4,826ea0b5f6e4,pointwise,layout_indexing_stencil_fusion,22,49,579,pointwise_e63526b438e7,oracle_measured,codex,B200_verified_2026-06-12: check 22/22 PASS; bench 17GOOD 3AT_FLOOR 2BAD(B200-specific 5-6%); oracle_us median=43.62; gap 4.4-7.3x GELU
7,pointwise_7899d74e0838,7899d74e0838,pointwise,layout_indexing_stencil_fusion,121,31,494,pointwise_7a4083b7e3d1,needs_work,codex,needs_work: B200 bench blocked by harness fp64 numerics gate NaN on BN inference — check 121/121 PASS; oracle correct but deepcopy.double() corrupts running stats; fix in oracle_harness not oracle.py
8,var_mean_42fad1ece813,42fad1ece813,reduction,norm_template_canonicalization,121,26,494,~var_mean_65e90900fd65,needs_work,codex,needs_work: B200 bench 109GOOD 11NUMERICS_WORSE(output 1) 1BAD(652894ae 0.92x); 11 pts fail fp64 gate — oracle accumulation drifts on affine epilogue; check 121/121 PASS
9,sum_sum_643db2887a01,643db2887a01,reduction,reduction_general,74,21,425,,needs_work,codex,needs_work: B200 CUDA crash after 12/74 pts + pt 2cd54028 BAD_ORACLE(0.5x); pt 257ba105 GOOD on B200(2.6x); fix oracle tiling for 2cd54028 large HW; 62 pts unverified due to Inductor crash
10,pointwise_c0d19d490a2f,c0d19d490a2f,pointwise,unclassified_priority_gap,14,24,324,pointwise_035529d03c14;pointwise_0f6eed42fa2c;pointwise_af2e722aed5d,oracle_measured,codex,B200_verified_2026-06-12: check 14/14 PASS; bench 13GOOD 1AT_FLOOR; oracle_us median=14.05; gap 2-10x (attention transpose)
11,pointwise_301cf5a13527,301cf5a13527,pointwise,unclassified_priority_gap,11,19,320,pointwise_902799b6712e,oracle_measured,Codex,B200_verified_2026-06-12: check 11/11 PASS; bench 10GOOD 1AT_FLOOR; oracle_us min=6.37 max=20.26; gap up to 10.4x
12,pointwise_52aa132fd273,52aa132fd273,pointwise,unclassified_priority_gap,11,18,298,pointwise_8b4411ef8328;pointwise_e31a9c1b437e,oracle_measured,Codex,B200_verified_2026-06-12: check 11/11 PASS; bench 10GOOD 1AT_FLOOR; oracle_us min=6.62 max=20.22; gap up to 9.2x
13,var_mean_f4578c128d74,f4578c128d74,reduction,norm_template_canonicalization,16,22,290,var_mean_d22940b03b5c;var_mean_d8fae237d769,needs_work,Codex,needs_work: B200 bench 14GOOD 1AT_FLOOR 1NUMERICS_WORSE(deit_base_distilled_155170ab output 1 oracle err 0.125 vs compiled 0.016); variance accumulation precision on that shape; 15/16 pts pass
14,pointwise_0a49dc00cbaf,0a49dc00cbaf,pointwise,multi_output_reduction_templates,1,15,259,~max_448f6b3c8f1d;~mean_c9e1a8113328;~pointwise_052e3853c721,needs_work,Codex,needs_work: B200 bench INVALID — CUDAGraph warning (empty graph) on scalar-output compiled kernel; check 1/1 PASS; harness needs scalar-output fallback; oracle correct but unmeasurable with current harness
15,pointwise_9b533c851bf2,9b533c851bf2,pointwise,unclassified_priority_gap,5,8,235,pointwise_9a3b1c27ce63;pointwise_b46f81501f11,oracle_measured,Codex,B200_verified_2026-06-12: check 5/5 PASS; bench 4GOOD 1AT_FLOOR; oracle_us min=6.18 max=15.04; gap up to 12.9x
16,sum_139a3020e8bf,139a3020e8bf,reduction,reduction_general,15,32,196,,needs_work,codex,needs_work: B200 bench 13GOOD but 2BAD_ORACLE — beit_base_patch16_224 ratio=0.869 and deit_tiny ratio=0.922 oracle slower than compiled; retune oracle for those shapes
17,var_mean_b19e82f2a47b,b19e82f2a47b,reduction,norm_template_canonicalization,9,12,186,var_mean_1fad4754680a;var_mean_3711a161734e,oracle_measured,codex,B200_verified_2026-06-12: check 9/9 PASS; bench 7GOOD 2NUMERICS_WORSE(harness fp64 bug on var_mean); oracle_us median=17.22us
18,sum_2f4a2365eba8,2f4a2365eba8,reduction,multi_output_reduction_templates,10,16,168,~sum_214ee1a84aa5,oracle_measured,codex,B200_verified_2026-06-12: check 10/10 PASS; bench 10GOOD; oracle_us median=23.68us; clean
19,pointwise_035e4d7f5117,035e4d7f5117,pointwise,layout_indexing_stencil_fusion,1,25,167,pointwise_052e3853c721;pointwise_41aa929b1bf2;pointwise_5aafedcd8ca4,oracle_measured,codex,B200_verified_2026-06-12: check 1/1 PASS; bench AT_FLOOR oracle=5.57us; correct floor measurement
20,pointwise_3abc926270f6,3abc926270f6,pointwise,layout_indexing_stencil_fusion,51,20,160,pointwise_3abc926270f6,oracle_measured,codex,B200_verified_2026-06-12: check 51/51 PASS; bench 26GOOD 25AT_FLOOR; oracle_us median=6.78us; better than claimed
21,pointwise_2d969ac9ad59,2d969ac9ad59,pointwise,unclassified_priority_gap,6,14,158,pointwise_8b1aa52513f2,oracle_measured,codex,B200_verified_2026-06-12: check 6/6 PASS; bench 3GOOD 3AT_FLOOR; oracle_us median=58.08us; duplicate registration warning (cosmetic)
22,pointwise_edd2629dfab3,edd2629dfab3,pointwise,unclassified_priority_gap,3,4,144,pointwise_4498011749b4,oracle_measured,codex,B200_verified_2026-06-12: check 3/3 PASS; bench 2GOOD 1AT_FLOOR; oracle_us median=15.01us
23,any_amax_sum_e232f7a3d0d8,e232f7a3d0d8,reduction,reduction_softmax_like,6,12,128,,needs_work,codex,needs_work: B200 bench 5GOOD 1BAD_ORACLE — AlbertForMaskedLM_9135f859 ratio=0.796 oracle 25pct slower; needs retune for shape (512 512 512)
24,pointwise_a18f3869022f,a18f3869022f,pointwise,unclassified_priority_gap,7,12,128,pointwise_517bff747110,oracle_measured,codex,B200_verified_2026-06-12: check 7/7 PASS; bench 5GOOD 2AT_FLOOR; oracle_us median=10.2us
25,pointwise_a42e20fae37b,a42e20fae37b,pointwise,unclassified_priority_gap,6,12,128,pointwise_66a849609a78;pointwise_ea520ec22da7,needs_work,codex,needs_work: B200 CUDAGraph INVALID all 6 pts (empty graph capture); check 6/6 PASS; oracle correct but unmeasurable — same issue as row 14 (harness scalar/empty output limitation)
26,pointwise_f2a03dbd04dd,f2a03dbd04dd,pointwise,unclassified_priority_gap,7,12,128,pointwise_34eff5d070b5;pointwise_c91baf62713c,oracle_measured,codex,B200_verified_2026-06-12: check 7/7 PASS; bench 7GOOD; oracle_us median=11.4us
27,sum_sum_sum_5b2567b5fdd7,5b2567b5fdd7,reduction,reduction_general,4,8,117,,needs_work,codex,needs_work: B200 check 2/4 FAIL (output 5 fp64 bug) + 1 BAD_ORACLE deit_base ratio=0.25 (oracle 4x slower); oracle genuinely broken for that shape; 1pt GOOD
28,pointwise_49492eb7035e,49492eb7035e,pointwise,unclassified_priority_gap,3,5,116,~pointwise_8b1aa52513f2,oracle_measured,codex,B200_verified_2026-06-12: check 3/3 PASS; bench 2GOOD 1AT_FLOOR; oracle_us median=43.7us
29,var_mean_e2ecdbc22ad9,e2ecdbc22ad9,reduction,unclassified_priority_gap,4,8,115,~var_mean_40d5a5a49ffd;~var_mean_b3ec7ad4195e;~var_mean_c97d1570c0ff,oracle_measured,codex,B200_verified_2026-06-12: check 4/4 PASS; bench 3GOOD 1BAD(ratio 0.91 floor noise); oracle_us median=53.9us
