cnt: 4, ((T([768, 768], f32)), {})
cnt: 4, ((T([3072, 768], f32)), {})
cnt: 4, ((T([768, 3072], f32)), {})
cnt: 4, ((T([4096, 1024], f32)), {})
cnt: 4, ((T([1024, 4096], f32)), {})
cnt: 3, ((T([1024, 1024], f32)), {})
cnt: 3, ((T([512, 512], f32)), {})
cnt: 2, ((T([2048, 2048], f32)), {})
cnt: 2, ((T([8192, 2048], f32)), {})
cnt: 2, ((T([2048, 8192], f32)), {})
cnt: 2, ((T([512, 384], f32)), {})
cnt: 2, ((T([2048, 512], f32)), {})
cnt: 2, ((T([512, 2048], f32)), {})
cnt: 2, ((T([32128, 512], f32)), {})
cnt: 1, ((T([1536, 1536], f32)), {})
cnt: 1, ((T([6144, 1536], f32)), {})
cnt: 1, ((T([1536, 6144], f32)), {})
cnt: 1, ((T([128100, 1536], f32)), {})
cnt: 1, ((T([256, 128], f32)), {})
cnt: 1, ((T([256, 256], f32)), {})
cnt: 1, ((T([1024, 256], f32)), {})
cnt: 1, ((T([256, 1024], f32)), {})
cnt: 1, ((T([128, 256], f32)), {})
cnt: 1, ((T([2, 768], f32)), {})
cnt: 1, ((T([2, 2048], f32)), {})
cnt: 1, ((T([32000, 768], f32)), {})
cnt: 1, ((T([384, 512], f32)), {})
cnt: 1, ((T([1024, 512], f32)), {})
cnt: 1, ((T([512, 1024], f32)), {})
cnt: 1, ((T([250112, 512], f32)), {})
cnt: 1, ((T([29056, 1024], f32)), {})
cnt: 1, ((T([128, 512], f32)), {})
cnt: 1, ((T([128, 128], f32)), {})
cnt: 1, ((T([512, 128], f32)), {})
cnt: 1, ((T([32000, 1024], f32)), {})
cnt: 1, ((T([384, 768], f32)), {})
cnt: 1, ((T([54, 384], f32)), {})
cnt: 1, ((T([2048, 1024], bf16)), {})
cnt: 1, ((T([1024, 1024], bf16)), {})
cnt: 1, ((T([1024, 2048], bf16)), {})
cnt: 1, ((T([3072, 1024], bf16)), {})
cnt: 1, ((T([1024, 3072], bf16)), {})
cnt: 1, ((T([151936, 1024], bf16)), {})
